MOTHER_ED,EERI,MATH_VERB
18,2,0.66594
13,2,0.3267
12,2,0.04947
13,2,0.4703
12,1,0.28504999999999997
12,1,0.14356
12,1,0.47147
14,2,0.8793300000000001
15,3,0.81216
16,3,0.90584
10,2,0.63501
10,0,0.23119
9,1,0.32398000000000005
12,2,0.52838
12,1,0.11875
9,0,0.011049999999999999
10,2,0.14569000000000001
10,1,0.30895
12,2,0.66244
12,2,0.3746
12,2,0.5730299999999999
15,1,0.20998999999999998
12,2,0.6248
17,3,0.74288
16,2,0.43723999999999996
13,3,0.39081000000000005
15,3,0.9695
12,1,0.9793600000000001
13,2,0.64023
14,3,0.66562
14,2,0.41484000000000004
12,1,0.79314
13,2,0.47798
13,2,0.38689999999999997
16,1,0.74239
16,1,0.26253
14,1,0.2266
12,1,0.60541
17,2,0.66928
13,1,0.47308
13,1,0.06831000000000001
13,1,0.35373
14,3,0.9418099999999999
14,3,0.7244499999999999
12,2,0.58603
12,2,0.54035
12,1,0.4671
12,1,0.92658
15,2,1
8,1,0.9769
11,2,0.04156
11,2,0.060860000000000004
12,1,0.99012
16,2,0.80121
11,2,0.08859
11,2,0.11434
10,1,0.09223
12,2,0.1306
16,3,0.8149
12,3,0.6681199999999999
17,2,0.97433
14,2,0.70407
20,2,0.6975
16,2,0.94333
16,2,0.19952000000000003
16,2,0.18834
13,2,0.7709199999999999
17,2,0.75291
14,2,0.48465
12,2,0.83923
12,3,0.78416
16,2,0.92833
18,3,0.9489700000000001
12,3,0.6123299999999999
12,2,0.42996
11,3,0.88455
17,2,0.11802
16,3,0.9199299999999999
12,3,0.81475
14,2,0.8558
14,2,0.68704
16,3,0.97072
15,2,0.36595
13,3,0.86885
12,3,0.8545099999999999
17,3,0.9614199999999999
10,2,0.57829
14,3,0.21624
19,2,0.8799800000000001
13,3,0.50436
17,3,0.43479
16,3,0.85134
16,2,0.67574
12,3,0.19638000000000003
13,2,0.66652
11,1,0.01602
11,1,0.041479999999999996
12,2,0.54189
16,2,0.9459399999999999
14,1,0.80738
16,2,0.8706999999999999
14,2,0.6415000000000001
15,3,0.69919
12,1,0.53033
12,2,0.52855
8,2,0.61633
10,0,0.03174
12,1,0.22475
10,1,0.34734000000000004
9,1,0.02213
16,3,0.7231799999999999
19,3,0.31601
20,1,0.8590099999999999
12,1,0.55597
13,1,0.57113
20,3,0.48068
16,2,0.44725000000000004
12,3,0.91731
12,3,0.44386000000000003
12,3,0.18284
12,3,0.102
20,3,0.8518899999999999
12,1,0.6000099999999999
14,1,0.6581999999999999
17,2,0.98369
17,2,0.7493099999999999
14,1,0.62433
12,0,0.27453
14,3,0.69045
12,1,0.91789
12,1,0.5772999999999999
12,1,0.33655999999999997
12,1,0.5539200000000001
12,2,0.17059000000000002
12,1,0.7637999999999999
12,1,0.15733
13,2,0.6201599999999999
10,1,0.13293
13,2,0.61129
13,2,0.49979999999999997
14,2,0.55883
10,1,0.10162
16,3,0.77605
20,3,0.91499
16,3,0.76618
16,2,0.20986999999999997
14,3,0.76961
16,3,0.63473
11,1,0.17531
15,1,0.38181
13,1,0.71565
12,3,0.87993999999999994
15,3,0.24059999999999998
15,3,0.26258
12,1,0.08169
10,1,0.36430999999999997
12,2,0.69272
12,1,0.01784
12,1,0.18914
9,1,0.26367999999999997
14,1,0.78325
16,2,0.69353
12,2,0.39677
18,2,0.99515
15,2,0.8669100000000001
16,2,0.80569
13,3,0.83087
12,2,0.7746299999999999
16,2,0.5379999999999999
16,3,0.8594499999999999
17,2,0.97787
18,2,0.90479
12,2,0.43199
16,3,0.8523999999999999
16,3,0.71083
12,2,0.1207
16,3,0.82528
12,2,0.44043999999999994
18,2,0.6357200000000001
16,1,0.84611
12,2,0.6207699999999999
14,2,0.07706
13,3,0.18903999999999999
17,2,0.9742400000000001
12,2,0.22289
12,1,0.72639
12,1,0.11857
12,2,0.8035
12,2,0.11128
14,2,0.45699
17,2,0.6092
12,1,0.41936999999999997
13,1,0.31324
12,2,0.38465000000000005
12,3,0.68699
16,1,0.79452
16,2,0.5664399999999999
12,2,0.6787099999999999
12,1,0.47417000000000004
18,1,0.9434699999999999
18,2,0.8778100000000001
18,3,0.74363
20,2,0.8729399999999999
12,2,0.74425
12,2,0.39081000000000005
12,1,0.43733
16,2,0.73934
12,2,0.37189999999999995
16,2,0.6624
14,2,0.32661999999999997
12,2,0.46865
13,1,0.28542
19,2,0.90605
14,2,0.7522199999999999
12,1,0.35779000000000005
14,2,0.85574
12,3,0.71146
16,2,0.7994499999999999
16,2,0.05799000000000001
12,2,0.5794400000000001
16,2,0.58936
15,3,0.79022
12,2,0.6109300000000001
16,3,0.71257
14,3,0.6272
18,1,0.6889799999999999
12,2,0.8904000000000001
13,2,0.05653
14,3,0.69261
12,1,0.03031
12,2,0.45353
14,2,0.2723
12,2,0.45267
14,2,0.30815000000000003
11,1,0.17958
11,1,0.21198
13,1,0.60471
13,2,0.87268
11,1,0.09585
12,2,0.41619
12,1,0.5004500000000001
12,3,0.29231999999999997
12,3,0.28737999999999997
15,2,0.56789
15,3,0.62372
11,2,0.58233
16,2,0.9817400000000001
16,2,0.9426399999999999
12,2,0.64015
15,2,0.86623000000000006
16,2,0.9749899999999999
12,3,0.89556
20,2,0.9859699999999999
12,2,0.62234
9,3,0.31961
9,2,0.48265
12,2,0.5515599999999999
16,2,0.87586
17,2,0.94497
16,0,0.77472
16,2,0.45885
15,1,0.47838
15,2,0.84131
16,2,0.93254
10,1,0.047119999999999995
12,1,0.7505
13,2,0.83592
13,2,0.8390099999999999
15,2,0.30556
18,2,0.85497
18,2,0.61002
16,3,0.6777599999999999
13,3,0.09058
13,2,0.5819
12,3,0.40163
16,2,0.33074
16,2,0.7308499999999999
17,3,0.88323
14,3,0.8238800000000001
16,2,0.91889
12,1,0.57247
10,2,0.14531
9,0,0.47644
9,0,0.14199
